日期	北部（板橋）最高溫度	中部（臺中）最高溫度	南部（高雄）最高溫度	東部（花蓮）最高溫度
2016-10-01	33	31.1	29.3	28.6
2016-10-02	34.9	32.9	31.8	30.6
2016-10-03	31.4	31.3	30.5	30.3
2016-10-04	31.7	31.4	30.8	30.4
2016-10-05	31.3	31.7	31.1	30.9
2016-10-06	32.4	30.2	31.1	29.7
2016-10-07	27.7	28.2	30.4	25.9
2016-10-08	31.2	28.5	28.1	26.5
2016-10-09	23.8	27.5	28.8	27.6
2016-10-10	23.6	28.4	29.8	28.2
2016-10-11	27.5	30	30.1	29.3
2016-10-12	24.4	30.1	30.5	30
2016-10-13	25.9	30.8	30.4	29.2
2016-10-14	26.1	31	30.6	29.6
2016-10-15	31	32.1	30.5	31.7
2016-10-16	31.8	32.5	30.8	30.4
2016-10-17	31.6	33.1	30.9	30.8
2016-10-18	31.9	31.4	31.2	30.8
2016-10-19	31.7	31.6	31.1	30.4
2016-10-20	33.3	33.1	31.9	30.4
2016-10-21	33.1	32.1	32.3	28.1
2016-10-22	31.8	32.5	31.4	29.7
2016-10-23	31.9	32.5	31.5	30.5
2016-10-24	29.4	32.2	32	27.9
2016-10-25	32.3	31.6	30.9	29.8
2016-10-26	32.3	32.1	31	30
2016-10-27	31.1	31.6	31.5	29.7
2016-10-28	30.9	31.7	30.9	30.1
2016-10-29	26.5	30.6	30.5	28
2016-10-30	23.6	30.5	29.3	25.7
2016-10-31	26.5	30	29.9	29.3
2016-11-01	23.4	28.4	29.7	27.3
2016-11-02	21.4	26.5	28.9	24.6
2016-11-03	22.2	27.5	28.2	25.6
2016-11-04	23.8	27.9	29	26.7
2016-11-05	29	28.2	29	27.8
2016-11-06	30.1	29.4	29.1	28.8
2016-11-07	30.4	30.7	29.3	26.1
2016-11-08	26.7	29.2	29.9	27.4
2016-11-09	20.3	26	27.8	23
2016-11-10	20.5	22.6	29.4	26.2
2016-11-11	23.2	25.2	25.9	22.3
2016-11-12	28.5	30.2	28.6	27.1
2016-11-13	31.5	29.8	28.7	28.4
2016-11-14	30.5	30.8	28.5	28
2016-11-15	27.1	31.6	28.5	28.2
2016-11-16	27.6	29	29.3	27.4
2016-11-17	30	29.8	28.6	27.6
2016-11-18	28.4	28.1	29.4	27.2
2016-11-19	30.3	32	31.1	29.3
2016-11-20	27.7	30.4	29.9	27.9
2016-11-21	23.5	24.9	29.6	25.3
2016-11-22	25.5	25.4	27.2	25
2016-11-23	20.9	21.9	27	22.4
2016-11-24	19.7	26.1	26.4	22.5
2016-11-25	24.6	27.9	27.2	25.3
2016-11-26	28	25.5	28.2	26.7
2016-11-27	19.7	21.6	22.7	21.4
2016-11-28	21.3	25.3	24.3	21.9
2016-11-29	23.8	25.5	27.2	22.7
2016-11-30	24.9	24.7	26.1	25.2
2016-12-01	21.9	24.6	28.6	24.6
2016-12-02	21	26.7	27.5	23.9
2016-12-03	24.5	27.3	27.6	25.5
2016-12-04	25.9	27.9	28.7	27.5
2016-12-05	23.1	28.2	29.3	26.9
2016-12-06	21	22.3	25.5	23.2
2016-12-07	21.7	23.4	26	22.8
2016-12-08	21.9	25.7	27.2	23.9
2016-12-09	21.8	26.8	26.7	25.2
2016-12-10	23.9	28	26.4	25.9
2016-12-11	21.5	26.7	26.1	22.5
2016-12-12	25.4	25.9	28.1	25.9
2016-12-13	24.8	29.3	29.3	25.1
2016-12-14	20.3	24.8	26.2	23.1
2016-12-15	16.3	20	24.2	19.5
2016-12-16	15.8	17.8	20.6	17.4
2016-12-17	21.7	23.9	24.2	21.7
2016-12-18	26.2	25.4	26	25
2016-12-19	27.7	27.1	26.6	25.7
2016-12-20	28.4	30.2	28.8	26.9
2016-12-21	30.9	29.6	27.9	24.8
2016-12-22	23.3	27.3	29.7	24.6
2016-12-23	21	26.3	25.2	21.8
2016-12-24	21.7	24.9	25.9	20.9
2016-12-25	26.4	26.3	26.7	25.4
2016-12-26	27.3	23.4	27.2	26.1
2016-12-27	20.7	20.6	24.1	21.4
2016-12-28	15.8	14.8	19.2	18.6
2016-12-29	16.4	19.8	21.5	18.9
2016-12-30	20.1	24.2	22.5	21.7
2016-12-31	25.4	25.4	25.7	24
2017-01-01	26.8	25.6	25.4	23.9
2017-01-02	25.1	25.2	26.2	26.1
2017-01-03	21.7	26.2	24.8	24.7
2017-01-04	26.5	25.1	25.4	23.9
2017-01-05	25.4	26	26.5	25.5
2017-01-06	25.3	26.1	28.3	26.2
2017-01-07	25.6	26.5	27.1	26.2
2017-01-08	22.1	27.1	28	23.3
2017-01-09	18.4	25	25.4	20.5
2017-01-10	21.1	25.5	25.6	21.4
2017-01-11	21.7	25.7	24.8	23.2
2017-01-12	22	23.6	25.3	23.5
2017-01-13	18.5	19.8	26.2	20.4
2017-01-14	15.3	18.8	23.3	17.6
2017-01-15	14.7	17.7	23.3	18
2017-01-16	16.3	19.9	23.4	20.3
2017-01-17	23.6	23.2	24	22.4
2017-01-18	23.7	24.2	26.2	25
2017-01-19	20.8	26.5	27.8	22.8
2017-01-20	16.5	20.5	25.2	20.6
2017-01-21	15.5	22.1	23.8	18.6
2017-01-22	17.1	22.3	22.8	17.7
2017-01-23	15.5	22.6	22.9	17.7
2017-01-24	16.5	21.5	23.9	18.6
2017-01-25	16.7	22.3	24.5	20.3
2017-01-26	18.5	23.6	23.4	20.5
2017-01-27	24.2	23.4	25.8	23.6
2017-01-28	25.2	28.8	24.5	24.9
2017-01-29	25.5	27.9	26.5	25.3
2017-01-30	20.5	27.6	26.3	25
2017-01-31	18.9	23.7	22.8	21.1
2017-02-01	18.4	22.8	24.8	21.6
2017-02-02	16.1	21.9	23.6	20.2
2017-02-03	24.3	23.5	24	24
2017-02-04	24.1	23.8	24.8	21.8
2017-02-05	22.6	24.5	26.4	23.5
2017-02-06	19.2	26.3	25.1	20.6
2017-02-07	20.3	24.4	23.7	21.9
2017-02-08	22.2	23.4	24.8	23.7
2017-02-09	13.6	16	21.3	19.6
2017-02-10	13	16.7	18.2	14.3
2017-02-11	13.7	18.6	16.5	14.3
2017-02-12	16.4	21.1	20.8	15.7
2017-02-13	19.7	24.8	23.4	18
2017-02-14	20.6	24.5	24	20.2
2017-02-15	24.6	24.1	23.8	23.9
2017-02-16	25.6	26.4	25.7	23.6
2017-02-17	26.7	27.6	26.7	25.4
2017-02-18	23.1	25	26	24.4
2017-02-19	27.3	27	25.3	23.8
2017-02-20	25.2	28.2	28.5	25.6
2017-02-21	23.1	27.8	26.4	22.8
2017-02-22	22.3	24.7	29.4	25.5
2017-02-23	18.6	26.4	28.7	22.2
2017-02-24	13.9	15	25	18.8
2017-02-25	14.8	15.6	24.9	17.3
2017-02-26	14.1	17.6	25.4	19.7
2017-02-27	16	19.3	24	18.4
2017-02-28	16.1	23.1	24.8	22.2
2017-03-01	18.6	22.3	26.3	21.7
2017-03-02	16.2	22.7	25.5	19.1
2017-03-03	20.5	21.9	24.6	18.1
2017-03-04	21.8	25.3	25.9	22.1
2017-03-05	25.4	27.7	28	26
2017-03-06	19.7	22.5	27.7	22.3
2017-03-07	15.5	17.1	22	16.9
2017-03-08	14.8	15.9	19.6	16.1
2017-03-09	17.5	22.9	25.1	17
2017-03-10	18.1	26.4	29.5	22.3
2017-03-11	23.6	26.6	26.5	22.7
2017-03-12	27.3	27.1	28	23.3
2017-03-13	21.1	28.9	29.5	25.3
2017-03-14	14.6	18.8	25.2	19.4
2017-03-15	17	21.9	24.2	18.4
2017-03-16	17.6	20.5	24.6	22.9
2017-03-17	21.6	25.3	26.6	23.3
2017-03-18	26.1	27.7	26.7	26.3
2017-03-19	21.7	26	29.5	23.8
2017-03-20	24.9	28.6	28.1	25.9
2017-03-21	21.1	28.5	29.6	22.7
2017-03-22	26.1	27.8	27.5	23.9
2017-03-23	21.9	29.6	32.6	25.1
2017-03-24	25.8	29.7	27.4	22
2017-03-25	20.1	24.2	29.2	22.1
2017-03-26	15.5	16	20.2	16.5
2017-03-27	24.5	26.5	26.6	23
2017-03-28	26.9	25.9	26.3	24
2017-03-29	27.4	28.2	28.7	25.4
2017-03-30	27.7	28.4	27.9	23.6
2017-03-31	27	28.8	29.3	27.2
2017-04-01	18.7	22.2	23.7	18.5
2017-04-02	22.8	25.1	25	22.5
2017-04-03	24.9	25.5	26.5	23.4
2017-04-04	26.9	25.7	26.3	23
2017-04-05	28.8	27.6	28	25.9
2017-04-06	25.7	28.5	30.2	25.4
2017-04-07	28.6	27	29.7	26
2017-04-08	30.8	30.8	29.7	28.8
2017-04-09	31.3	31.2	29.2	28.4
2017-04-10	34.4	33.5	31.7	29.7
2017-04-11	24.7	27.4	30.9	27.1
2017-04-12	18.5	20.9	27.1	21.6
2017-04-13	22	20.9	25.2	21.2
2017-04-14	24	27.6	29	26.6
2017-04-15	29	30.2	30.6	27.9
2017-04-16	31.9	30.1	32.2	29
2017-04-17	31.8	31.2	30.9	28.3
2017-04-18	28.4	30.7	30.4	27.9
2017-04-19	29.5	32.2	30.3	28.2
2017-04-20	28.8	29	31.1	28.5
2017-04-21	30.5	31.1	30.3	30
2017-04-22	18.7	21.5	26.4	21.4
2017-04-23	22.4	24	24.4	21.5
2017-04-24	23.6	26.5	27.9	24.1
2017-04-25	28.1	27.1	29.4	28.7
2017-04-26	28.9	30.1	30.7	28.9
2017-04-27	20	22.1	28.5	22.8
2017-04-28	23.4	25.3	25.4	21.4
2017-04-29	27.5	28	27.3	23.7
2017-04-30	28.9	28.2	28.4	26.6
2017-05-01	30.7	29.5	29.5	28
2017-05-02	29.2	29.2	30.6	27.8
2017-05-03	30	30.2	30.9	29.1
2017-05-04	30.9	32	31.5	30
2017-05-05	31.1	31.4	31.5	30.5
2017-05-06	27.1	31.5	32.1	29.6
2017-05-07	26.7	31.8	30.4	27.9
2017-05-08	30.5	31.8	31	29.2
2017-05-09	27.2	31.5	32.2	31.1
2017-05-10	33.3	32.5	31.7	30.9
2017-05-11	33	32.7	31.6	30.5
2017-05-12	31.1	32.4	33.2	29.4
2017-05-13	26.4	30.4	32	28.8
2017-05-14	31.4	33.9	32.3	28
2017-05-15	31.5	31.6	30.6	29.5
2017-05-16	21.8	24.2	28.9	23.8
2017-05-17	26.8	28.7	28.5	25.3
2017-05-18	29.7	30.9	28.8	28.3
2017-05-19	27.7	29.3	28.9	25.2
2017-05-20	28.7	27.1	29.1	24
2017-05-21	27.9	31.4	32.2	28
2017-05-22	29.7	31.5	31.1	28.7
2017-05-23	31	31.8	31.2	30.4
2017-05-24	31.4	29.7	31	30.4
2017-05-25	23.9	29.9	30.1	25
2017-05-26	25.3	29.4	29.4	25.6
2017-05-27	25.8	28.5	30.3	26.1
2017-05-28	27.2	30.4	30.1	24.5
2017-05-29	30.4	32.4	30.8	26.9
2017-05-30	30.4	29	29.6	28.5
2017-05-31	33.6	31.3	31.1	30.4
2017-06-01	34.1	28.4	31.6	29.7
2017-06-02	29.9	28.8	30.7	27.4
2017-06-03	26.2	27.6	30.5	25.6
2017-06-04	28	29	28.8	28.2
2017-06-05	31.6	30.3	32.5	29.7
2017-06-06	33.2	33.6	32.9	31
2017-06-07	34.9	33.6	33.1	31
2017-06-08	33.8	32.8	33	30.9
2017-06-09	32.8	32.2	33.1	31.9
2017-06-10	33.7	33.5	33.4	31
2017-06-11	35	34.4	33.7	30.8
2017-06-12	34.3	33.2	33.6	32.4
2017-06-13	34.7	35.9	33.9	31.4
2017-06-14	26.5	28.3	30.7	28.1
2017-06-15	23.4	25.1	27.2	25.3
2017-06-16	27.2	29.3	31.6	27.3
2017-06-17	25.6	26.5	30.6	26.2
2017-06-18	26.6	25.5	31.3	27.1
2017-06-19	30.3	29.4	32	28.6
2017-06-20	33.7	31.7	31.9	29.9
2017-06-21	33.8	33.6	32.4	31.1
2017-06-22	34.1	32.7	33.3	32.3
2017-06-23	34.1	33.8	32.7	32.3
2017-06-24	34	33.7	32.5	32.7
2017-06-25	34.1	33	33.1	32.3
2017-06-26	35.4	33.8	33.1	33
2017-06-27	34.3	32.8	33.1	32.8
2017-06-28	35	33.7	33	32.2
2017-06-29	34.1	33.2	32.9	32
2017-06-30	34.3	34	33	31.7
